Sample,Moisture,Achimi+A1+B:T,Agrostol,Airaprae,Alopgeni,Anthodor,Bellpere,Bromhord,Chenalbu,Cirsarve,Comapalu,Eleopalu,Elymrepe,Empenigr,Hyporadi,Juncarti,Juncbufo,Lolipere,Planlanc,Poaprat,Poatriv,Ranuflam,Rumeacet,Sagiproc,Salirepe,Scorautu,Trifprat,Trifrepe,Vicilath,Bracruta,Callcusp
1,Level_1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0
2,Level_1,3,0,0,2,0,3,4,0,0,0,0,4,0,0,0,0,5,0,4,7,0,0,0,0,5,0,5,0,0,0
3,Level_2,0,4,0,7,0,2,0,0,0,0,0,4,0,0,0,0,6,0,5,6,0,0,0,0,2,0,2,0,2,0
4,Level_2,0,8,0,2,0,2,3,0,2,0,0,4,0,0,0,0,5,0,4,5,0,0,5,0,2,0,1,0,2,0
5,Level_1,2,0,0,0,4,2,2,0,0,0,0,4,0,0,0,0,2,5,2,6,0,5,0,0,3,2,2,0,2,0
6,Level_1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,0,6,0,0,3,5,5,0,6,0
7,Level_1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,6,5,4,5,0,3,0,0,3,2,2,0,2,0
8,Level_5,0,4,0,5,0,0,0,0,0,0,4,0,0,0,4,0,4,0,4,4,2,0,2,0,3,0,2,0,2,0
9,Level_4,0,3,0,3,0,0,0,0,0,0,0,6,0,0,4,4,2,0,4,5,0,2,2,0,2,0,3,0,2,0
10,Level_2,4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,6,3,4,4,0,0,0,0,3,0,6,1,2,0
11,Level_1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,3,4,0,0,0,2,0,5,0,3,2,4,0
12,Level_4,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,4,0,2,0,3,0,4,0
13,Level_5,0,5,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,9,2,0,2,0,2,0,2,0,0,0
14,Level_5,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,4
15,Level_5,0,4,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,1,0,4,0
16,Level_5,0,7,0,4,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,4,3
17,Level_2,2,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0
18,Level_1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,5,0,2,1,6,0
19,Level_5,0,0,3,0,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,3,3,6,0,2,0,3,0
20,Level_5,0,5,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,5,2,0,0,0,4,3
